"Schema","Status","Error"
"./OSD/V1.5/data/BasicRADARSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicRADARSceneGeometry.json"" already exists"
"./OSD/V1.5/data/BasicSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/BasicSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicSceneGeometry.json"" already exists"
"./OSD/V1.5/data/BasicSpeechObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicSpeechObject.json"" already exists"
"./OSD/V1.5/data/BasicSpeechSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicSpeechSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/BasicSpeechSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicSpeechSceneGeometry.json"" already exists"
"./OSD/V1.5/data/BasicTextObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicTextObject.json"" already exists"
"./OSD/V1.5/data/BasicUltrasoundObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicUltrasoundObject.json"" already exists"
"./OSD/V1.5/data/BasicUltrasoundSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicUltrasoundSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/BasicUltrasoundSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicUltrasoundSceneGeometry.json"" already exists"
"./OSD/V1.5/data/BasicVisualObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicVisualObject.json"" already exists"
"./OSD/V1.5/data/BasicVisualSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicVisualSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/BasicVisualSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicVisualSceneGeometry.json"" already exists"
"./OSD/V1.5/data/BoundingBox.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BoundingBox.json"" already exists"
"./OSD/V1.5/data/ColourObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/ColourObject.json"" already exists"
"./OSD/V1.5/data/Coordinates.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Coordinates.json"" already exists"
"./OSD/V1.5/data/CoordinateTypes.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/CoordinateTypes.json"" already exists"
"./OSD/V1.5/data/Depth.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Depth.json"" already exists"
"./OSD/V1.5/data/DeviceSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/DeviceSceneGeometry.json"" already exists"
"./OSD/V1.5/data/EnhancedVisualSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/EnhancedVisualSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/EventDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/EventDescriptors.json"" already exists"
"./OSD/V1.5/data/ExtendedVisualSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/ExtendedVisualSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/GeometricSolid.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/GeometricSolid.json"" already exists"
"./OSD/V1.5/data/InstanceIdentifier.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/InstanceIdentifier.json"" already exists"
"./OSD/V1.5/data/InteractionPotential.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/InteractionPotential.json"" already exists"
"./OSD/V1.5/data/LiDAREventDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/LiDAREventDescriptors.json"" already exists"
"./OSD/V1.5/data/LiDARObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/LiDARObject.json"" already exists"
"./OSD/V1.5/data/LiDARSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/LiDARSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/LiDARSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/LiDARSceneGeometry.json"" already exists"
"./OSD/V1.5/data/LightSource.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/LightSource.json"" already exists"
"./OSD/V1.5/data/LocationObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/LocationObject.json"" already exists"
"./OSD/V1.5/data/Object.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Object.json"" already exists"
"./OSD/V1.5/data/ObjectAffordance.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/ObjectAffordance.json"" already exists"
"./OSD/V1.5/data/OcclusionFlag.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/OcclusionFlag.json"" already exists"
"./OSD/V1.5/data/OfflineMapEventDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/OfflineMapEventDescriptors.json"" already exists"
"./OSD/V1.5/data/OfflineMapObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/OfflineMapObject.json"" already exists"
"./OSD/V1.5/data/OfflineMapSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/OfflineMapSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/OfflineMapSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/OfflineMapSceneGeometry.json"" already exists"
"./OSD/V1.5/data/Orientation.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/types/Orientation.json"" already exists"
"./OSD/V1.5/data/Path.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Path.json"" already exists"
"./OSD/V1.5/data/PerceptibleEntity.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/PerceptibleEntity.json"" already exists"
"./OSD/V1.5/data/Plot.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Plot.json"" already exists"
"./OSD/V1.5/data/Point.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Point.json"" already exists"
