"Schema","Status","Error"
"./OSD/V1.5/data/CoordinateTypes.json","valid",""
"./OSD/V1.5/data/Depth.json","valid",""
"./OSD/V1.5/data/3DModelEventDescriptors.json","invalid","can't resolve reference https://schemas.mpai.community/OSD/V1.5/data/SpaceTime.json from id https://schemas.mpai.community/OSD/V1.5/data/3DModelEventDescriptors.json"
"./OSD/V1.5/data/3DModelObject.json","invalid","can't resolve reference https://schemas.mpai.community/OSD/V1.5/data/SpaceTime.json from id https://schemas.mpai.community/OSD/V1.5/data/3DModelObject.json"
"./OSD/V1.5/data/3DModelSceneDescriptors.json","invalid","can't resolve reference https://schemas.mpai.community/OSD/V1.5/data/SpaceTime.json from id https://schemas.mpai.community/OSD/V1.5/data/3DModelSceneDescriptors.json"
"./OSD/V1.5/data/3DModelSceneGeometry.json","invalid","can't resolve reference https://schemas.mpai.community/OSD/V1.5/data/SpaceTime.json from id https://schemas.mpai.community/OSD/V1.5/data/3DModelSceneGeometry.json"
"./OSD/V1.5/data/AcousticProfile.json","invalid","can't resolve reference https://schemas.mpai.community/OSD/V1.5/data/Plot.json from id https://schemas.mpai.community/OSD/V1.5/data/AcousticProfile.json"
"./OSD/V1.5/data/AffordanceTags.json","invalid","can't resolve reference https://schemas.mpai.community/TFA/V1.5/types/MLModelTypes.json from id https://schemas.mpai.community/TFA/V1.5/data/MLModelQualifier.json"
"./OSD/V1.5/data/Annotation.json","invalid","can't resolve reference https://schemas.mpai.community/OSD/V1.5/data/SpaceTime.json from id https://schemas.mpai.community/OSD/V1.5/data/Annotation.json"
"./OSD/V1.5/data/AudioEventDescriptors.json","invalid","can't resolve reference https://schemas.mpai.community/OSD/V1.5/data/SpaceTime.json from id https://schemas.mpai.community/OSD/V1.5/data/AudioEventDescriptors.json"
"./OSD/V1.5/data/AudioMotionFlags.json","invalid","can't resolve reference https://schemas.mpai.community/OSD/V1.5/data/Time.json from id https://schemas.mpai.community/OSD/V1.5/types/AudioMotionFlags.json"
"./OSD/V1.5/data/AudioObject.json","invalid","can't resolve reference https://schemas.mpai.community/OSD/V1.5/data/SpaceTime.json from id https://schemas.mpai.community/OSD/V1.5/data/AudioObject.json"
"./OSD/V1.5/data/AudioProximityClass.json","invalid","can't resolve reference https://schemas.mpai.community/OSD/V1.5/data/Time.json from id https://schemas.mpai.community/OSD/V1.5/types/AudioProximityClass.json"
